country,year,rate
Greece,2015,-1.1
Greece,2016,0
Greece,2017,1.1
Greece,2018,0.8
Greece,2019,0.5
Hungary,2008,6
Hungary,2009,4
Hungary,2010,4.7
Hungary,2011,3.9
Hungary,2012,5.7
Hungary,2013,1.7
Hungary,2014,0
Hungary,2015,0.1
Hungary,2016,0.4
Hungary,2017,2.4
Hungary,2018,2.9
Hungary,2019,3.4
Iceland,2008,12.8
Iceland,2009,16.3
Iceland,2010,7.5
Iceland,2011,4.2
Iceland,2012,6
Iceland,2013,4.1
Iceland,2014,1
Iceland,2015,0.3
Iceland,2016,0.8
Iceland,2017,-1.7
Iceland,2018,0.7
Iceland,2019,2
Ireland,2008,3.1
Ireland,2009,-1.7
Ireland,2010,-1.6
Ireland,2011,1.2
Ireland,2012,1.9
Ireland,2013,0.5
Ireland,2014,0.3
Ireland,2015,0
Ireland,2016,-0.2
Ireland,2017,0.3
Ireland,2018,0.7
Ireland,2019,0.9
Italy,2008,3.5
Italy,2009,0.8
Italy,2010,1.6
Italy,2011,2.9
Italy,2012,3.3
Italy,2013,1.2
Italy,2014,0.2
Italy,2015,0.1
Italy,2016,-0.1
Italy,2017,1.3
Italy,2018,1.2
Italy,2019,0.6
Latvia,2008,15.3
Latvia,2009,3.3
Latvia,2010,-1.2
Latvia,2011,4.2
Latvia,2012,2.3
Latvia,2013,0
Latvia,2014,0.7
Latvia,2015,0.2
Latvia,2016,0.1
Latvia,2017,2.9
Latvia,2018,2.6
Latvia,2019,2.7
Lithuania,2008,11.1
Lithuania,2009,4.2
Lithuania,2010,1.2
Lithuania,2011,4.1
Lithuania,2012,3.2
Lithuania,2013,1.2
Lithuania,2014,0.2
Lithuania,2015,-0.7
Lithuania,2016,0.7
Lithuania,2017,3.7
Lithuania,2018,2.5
Lithuania,2019,2.2
Luxembourg,2008,4.1
Luxembourg,2009,0
Luxembourg,2010,2.8
Luxembourg,2011,3.7
Luxembourg,2012,2.9
Luxembourg,2013,1.7
Luxembourg,2014,0.7
Luxembourg,2015,0.1
Luxembourg,2016,0
Luxembourg,2017,2.1
Luxembourg,2018,2
Luxembourg,2019,1.6
Malta,2008,4.7
Malta,2009,1.8
Malta,2010,2
Malta,2011,2.5
Malta,2012,3.2
Malta,2013,1
Malta,2014,0.8
Malta,2015,1.2
Malta,2016,0.9
Malta,2017,1.3
Malta,2018,1.7
Malta,2019,1.5
Netherlands,2008,2.2
Netherlands,2009,1
Netherlands,2010,0.9
Netherlands,2011,2.5
Netherlands,2012,2.8
Netherlands,2013,2.6
Netherlands,2014,0.3
Netherlands,2015,0.2
Netherlands,2016,0.1
Netherlands,2017,1.3
Netherlands,2018,1.6
Netherlands,2019,2.7
North Macedonia,2008,7.6
North Macedonia,2009,-0.1
North Macedonia,2010,1.1
North Macedonia,2011,3.2
North Macedonia,2012,1.8
North Macedonia,2013,2.7
North Macedonia,2014,0
North Macedonia,2015,0.1
North Macedonia,2016,0.2
North Macedonia,2017,2.1
North Macedonia,2018,2.3
North Macedonia,2019,0.7
Norway,2008,3.4
Norway,2009,2.3
Norway,2010,2.3
Norway,2011,1.3
Norway,2012,0.4
Norway,2013,2
Norway,2014,1.9
Norway,2015,2
Norway,2016,3.9
Norway,2017,1.9
Norway,2018,3
Norway,2019,2.3
Poland,2008,4.2
Poland,2009,4
Poland,2010,2.6
Poland,2011,3.9
Poland,2012,3.7
Poland,2013,0.8
Poland,2014,0.1
Poland,2015,-0.7
Poland,2016,-0.2
Poland,2017,1.6
Poland,2018,1.2
Poland,2019,2.1
Portugal,2008,2.7
Portugal,2009,-0.9
Portugal,2010,1.4
Portugal,2011,3.6
Portugal,2012,2.8
Portugal,2013,0.4
Portugal,2014,-0.2
Portugal,2015,0.5
Portugal,2016,0.6
Portugal,2017,1.6
Portugal,2018,1.2
Portugal,2019,0.3
Romania,2008,7.9
Romania,2009,5.6
Romania,2010,6.1
Romania,2011,5.8
Romania,2012,3.4
Romania,2013,3.2
Romania,2014,1.4
Romania,2015,-0.4
Romania,2016,-1.1
Romania,2017,1.1
Romania,2018,4.1
Romania,2019,3.9
Serbia,2008,11.9
Serbia,2009,8.2
Serbia,2010,6.2
Serbia,2011,11.2
Serbia,2012,7.4
Serbia,2013,7.7
Serbia,2014,2.3
Serbia,2015,1.5
Serbia,2016,1.3
Serbia,2017,3.3
Serbia,2018,2
Serbia,2019,1.9
Slovakia,2008,3.9
Slovakia,2009,0.9
Slovakia,2010,0.7
Slovakia,2011,4.1
Slovakia,2012,3.7
Slovakia,2013,1.5
Slovakia,2014,-0.1
Slovakia,2015,-0.3
Slovakia,2016,-0.5
Slovakia,2017,1.4
Slovakia,2018,2.5
Slovakia,2019,2.8
Slovenia,2008,5.5
Slovenia,2009,0.8
Slovenia,2010,2.1
Slovenia,2011,2.1
Slovenia,2012,2.8
Slovenia,2013,1.9
Slovenia,2014,0.4
Slovenia,2015,-0.8
Slovenia,2016,-0.2
Slovenia,2017,1.6
Slovenia,2018,1.9
Slovenia,2019,1.7
Spain,2008,4.1
Spain,2009,-0.2
Spain,2010,2
Spain,2011,3
Spain,2012,2.4
Spain,2013,1.5
Spain,2014,-0.2
Spain,2015,-0.6
Spain,2016,-0.3
Spain,2017,2
Spain,2018,1.7
Spain,2019,0.8
Sweden,2008,3.3
Sweden,2009,1.9
Sweden,2010,1.9
Sweden,2011,1.4
Sweden,2012,0.9
Sweden,2013,0.4
Sweden,2014,0.2
Sweden,2015,0.7
Sweden,2016,1.1
Sweden,2017,1.9
Sweden,2018,2
Sweden,2019,1.7
Switzerland,2008,2.4
Switzerland,2009,-0.7
Switzerland,2010,0.6
Switzerland,2011,0.1
Switzerland,2012,-0.7
Switzerland,2013,0.1
Switzerland,2014,0
Switzerland,2015,-0.8
Switzerland,2016,-0.5
Switzerland,2017,0.6
Switzerland,2018,0.9
Switzerland,2019,0.4
Turkey,2008,10.4
Turkey,2009,6.3
Turkey,2010,8.6
Turkey,2011,6.5
Turkey,2012,9
Turkey,2013,7.5
Turkey,2014,8.9
Turkey,2015,7.7
Turkey,2016,7.7
Turkey,2017,11.1
Turkey,2018,16.3
Turkey,2019,15.2
United Kingdom,2008,3.6
United Kingdom,2009,2.2
United Kingdom,2010,3.3
United Kingdom,2011,4.5
United Kingdom,2012,2.8
United Kingdom,2013,2.6
United Kingdom,2014,1.5
United Kingdom,2015,0
United Kingdom,2016,0.7
United Kingdom,2017,2.7
United Kingdom,2018,2.5
United Kingdom,2019,1.8
